string,chaper,translator,group,phase,modality,UCP_ID,classification,sub_classification,Kudos,Error,High-level error type,Granular error type,reproduction,omission,creative_shift,NA
2,2,1,A,Pre,HT,1,Reproduction,Retention,0,0,,,1,0,0,0
2,2,1,A,Pre,HT,2,Modification,Situational,0,1,Fluency,,0,0,1,0
2,2,1,A,Pre,HT,3,Reproduction,Direct Translation,0,0,,,1,0,0,0
2,2,1,A,Pre,HT,4,Omission,Shortcut,0,0,,,0,1,0,0
3,2,1,A,Pre,HT,5,Reproduction,Direct Translation,0,0,,,1,0,0,0
3,2,1,A,Pre,HT,6,Reproduction,Direct Translation,0,1,Accuracy,Under-translation,1,0,0,0
3,2,1,A,Pre,HT,7,Omission,Shortcut,0,0,,,0,1,0,0
3,2,1,A,Pre,HT,8,Omission,Shortcut,0,0,,,0,1,0,0
3,2,1,A,Pre,HT,9,Modification,Situational,0,1,Fluency,,0,0,1,0
4,2,1,A,Pre,HT,10,Modification,Situational,0,1,Accuracy,Mistranslation,0,0,1,0
4,2,1,A,Pre,HT,11,Modification,Situational,0,1,Accuracy,Mistranslation,0,0,1,0
4,2,1,A,Pre,HT,12,Reproduction,Direct Translation,0,0,,,1,0,0,0
5,2,1,A,Pre,HT,13,Reproduction,Direct Translation,0,0,,,1,0,0,0
5,2,1,A,Pre,HT,14,Reproduction,Direct Translation,0,0,,,1,0,0,0
7,2,1,A,Pre,HT,15,Reproduction,Direct Translation,0,0,,,1,0,0,0
7,2,1,A,Pre,HT,16,Modification,Situational,0,0,,,0,0,1,0
9,6,1,A,Pre,PE,17,Modification,Situational,0,1,Style,Unidiomatic,0,0,1,0
10,6,1,A,Pre,PE,18,Reproduction,Direct Translation,0,0,,,1,0,0,0
10,6,1,A,Pre,PE,19,Modification,Situational,0,1,Fluency,,0,0,1,0
10,6,1,A,Pre,PE,20,Reproduction,Direct Translation,0,0,,,1,0,0,0
11,6,1,A,Pre,PE,21,Reproduction,Direct Translation,0,0,,,1,0,0,0
11,6,1,A,Pre,PE,22,Reproduction,Direct Translation,0,0,,,1,0,0,0
11,6,1,A,Pre,PE,23,Reproduction,Direct Translation,0,0,,,1,0,0,0
12,6,1,A,Pre,PE,24,Omission,Shortcut,0,0,,,0,1,0,0
13,6,1,A,Pre,PE,25,Reproduction,Direct Translation,0,0,,,1,0,0,0
13,6,1,A,Pre,PE,26,Reproduction,Direct Translation,0,0,,,1,0,0,0
15,6,1,A,Pre,PE,27,Reproduction,Direct Translation,0,0,,,1,0,0,0
15,6,1,A,Pre,PE,28,Reproduction,Direct Translation,0,0,,,1,0,0,0
16,6,1,A,Pre,PE,29,Omission,Shortcut,0,1,Accuracy,Omission,0,1,0,0
17,6,1,A,Pre,PE,30,Omission,Creative,1,0,,,0,1,0,0
18,6,1,A,Pre,PE,31,Reproduction,Official Translation,0,0,,,1,0,0,0
18,6,1,A,Pre,PE,32,Modification,Situational,0,1,Accuracy,Mistranslation,0,0,1,0
